All Library Web Properties,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025
All - Total users,21067,26053,33522,29161,22378,21590,34054,33854,32867,35126,32096
All - New users,18554,23089,29222,24387,18079,18236,30053,27629,26734,28064,27081
All - Views,72576,108866,119062,133848,98710,107200,229572,230800,240032,224660,174860
All - Views per user,3.49,4.22,3.59,4.65,4.50,5.04,6.82,6.93,7.43,6.5,5.54
All - Sessions,28654,38330,47046,46416,34892,39484,83079,90771,88064,87745,69606
All - Average session duration,0:02:55,0:03:28,0:03:11,0:03:29,0:03:33,0:03:27,3:57,4:09,4:00,3:44,3:19
All - Engaged sessions,15915,21087,24374,25240,19721,20777,39919,41370,41894,40160,32956
All - Engagement rate,55.54%,55.01%,51.81%,54.38%,56.52%,52.62%,48.05%,45.58%,47.57%,45.77%,47.35%
,,,,,,,,,,,
Main Library Website (www.lib.uidaho.edu),,,,,,,,,,,
Main - Total users,14728,17998,22821,19315,14665,13517,17236,18279,17169,18429,18967
Main - New users,13021,15425,19067,15102,11012,10571,13788,13911,13212,14274,15762
Main - Views,58128,77465,81103,84485,70439,61304,76478,74009,79854,78311,65081
Main - Views per user,4.00,4.37,3.60,4.44,4.90,4.62,4.5,4.11,4.74,4.31,3.47
Main - Sessions,20348,26971,32443,31349,23689,19984,27387,28423,26835,28807,26034
Main - Average session duration,0:03:03,0:03:34,0:03:00,0:03:19,0:03:34,0:03:38,3:28,3:32,3:38,3:29,3:08
Main - Engaged sessions,11820,15265,16974,17592,13693,11312,15565,16591,16062,16244,13767
Main - Engagement rate,58.09%,56.60%,52.32%,56.12%,57.80%,56.61%,56.83%,58.37%,59.85%,56.39%,52.88%
,,,,,,,,,,,
Catalog (primo),,,,,,,,,,,
Catalog - Total users,,,,,,1275,5654,5417,5322,5032,3075
Catalog - New users,,,,,,1290,5314,4134,3864,3515,2098
Catalog - Views,,,,,,21510,101725,118811,118488,106612,68705
Catalog - Views per user,,,,,,16.90,18.04,22.08,22.5,21.34,22.67
Catalog - Sessions,,,,,,10375,41361,46275,44213,42214,31041
Catalog - Average session duration,,,,,,0:03:07,4:11,4:40,4:34,4:07,3:36
Catalog - Engaged sessions,,,,,,4641,15773,17149,16961,16425,12729
Catalog - Engagement rate,,,,,,44.73%,38.13%,37.06%,38.36%,38.91%,41.01%
,,,,,,,,,,,
Digital Properties (www.lib.uidaho.edu/digital/ + cdil.lib.uidaho.edu),,,,,,,,,,,
Digital - Total users,11319,12611,12276,11799,8890,9586,11685,12642,11303,13192,14507
Digital - New users,10546,11374,11122,10190,7697,8215,10272,10648,9902,11331,12872
Digital - Views,48480,59174,53826,60916,51780,51014,60771,59538,64232,64612,56065
Digital - Views per user,4.34,4.78,4.46,5.26,5.93,5.39,5.3,4.77,5.77,4.95,3.91
Digital - Sessions,14074,16541,15765,15536,12122,12244,15457,16378,15182,17331,17922
Digital - Average session duration,0:03:13,0:03:35,0:03:16,0:03:46,0:04:05,0:04:18,4:03,4:06,4:06,4:00,3:26
Digital - Engaged sessions,8348,9490,9063,9308,7146,7138,8857,9469,9141,10059,9665
Digital - Engagement rate,59.32%,57.37%,57.49%,59.91%,58.95%,58.30%,57.30%,57.82%,60.21%,58.04%,53.93%
,,,,,,,,,,,
Spec Properties (www.lib.uidaho.edu/special-collections/ + harvester.lib.uidaho.edu) ,,,,,,,,,,,
Spec - Total users,1425,1668,1662,1529,1222,1240,1424,1600,1555,2137,1696
Spec - New users,1201,1422,1345,1187,956,986,1146,1263,1236,1820,1428
Spec - Views,2606,2831,3180,3115,2951,2501,2656,2989,2926,4322,2927
Spec - Views per user,1.85,1.71,1.93,2.06,2.47,2.04,1.88,1.9,1.92,2.03,1.75
Spec - Sessions,1791,2008,2079,1945,1562,1521,1800,2040,1941,2633,2006
Spec - Average session duration,0:02:15,0:02:20,0:02:36,0:02:34,0:03:03,0:02:33,2:26,2:31,2:33,2:39,2:00
Spec - Engaged sessions,1112,1223,1339,1220,950,926,1150,1264,1153,1574,1183
Spec - Engagement rate,62.09%,60.91%,64.41%,62.72%,60.82%,60.88%,63.89%,61.96%,59.40%,59.78%,58.97%
,,,,,,,,,,,
Verso (verso.uidaho.edu),,,,,,,,,,,
VERSO - Total users,,671,1460,1755,1570,1520,1942,1277,1693,2169,2022
VERSO - New users,,525,1161,1366,1257,1238,1527,1001,1289,1773,1676
VERSO - Views,,6137,12587,12564,8422,7976,14281,7785,12325,9911,9943
VERSO - Views per user,,9.23,8.71,7.25,5.41,5.29,7.42,6.16,7.34,4.62,4.97
VERSO - Sessions,,899,1920,2338,1980,1895,2499,1691,2225,2712,2513
VERSO - Average session duration,,0:04:45,0:04:06,0:03:53,0:03:01,0:03:21,3:14,3:38,3:35,2:16,2:38
VERSO - Engaged sessions,,614,1412,1730,1459,1379,1804,1144,1588,1705,1626
VERSO - Engagement rate,,68.30%,73.54%,73.99%,73.69%,72.77%,72.19%,67.65%,71.37%,62.87%,64.70%
,,,,,,,,,,,
"GIS Properties (insideidaho.org, +++) ",,,,,,,,,,,
GIS - Total users,1613,2116,1698,2056,1587,1261,1726,1481,1613,1602,1855
GIS - New users,1269,1663,1259,1609,1139,939,1329,1120,1218,1206,1491
GIS - Views,3765,9866,4167,12403,3301,3182,10238,3193,3723,3772,12737
GIS - Views per user,2.4,4.77,2.53,6.2,2.19,2.58,6.09,2.22,2.38,2.44,7.07
GIS - Sessions,2685,3260,2763,3025,2623,2063,2736,2373,2825,2763,2676
GIS - Average session duration,0:02:47,0:03:38,0:02:51,0:02:40,0:03:06,0:02:51,3:31,2:47,2:39,2:56,2:34
GIS - Engaged sessions,1601,1897,1617,1671,1372,1204,1543,1332,1544,1562,1473
GIS - Engagement rate,59.63%,58.19%,58.52%,55.24%,52.31%,58.36%,56.40%,56.13%,54.65%,56.53%,55.04%
,,,,,,,,,,,
Pressbooks (uidaho.pressbooks.pub),,,,,,,,,,,
Pressbooks - Total users,533,512,674,773,875,658,1817,883,1070,1042,1307
Pressbooks - New users,513,484,644,736,825,622,1785,836,1024,997,1258
Pressbooks - Views,1027,2957,1465,2274,2707,1504,5082,1799,2421,2501,2670
Pressbooks - Views per user,1.95,5.81,2.2,2.97,3.14,2.32,2.81,2.1,2.31,2.44,2.07
Pressbooks - Sessions,681,683,845,1136,1146,835,2310,1140,1417,1400,1612
Pressbooks - Average session duration,0:02:36,0:04:46,0:02:51,0:03:53,0:03:23,0:02:45,3:26,2:40,2:45,2:44,2:17
Pressbooks - Engaged sessions,369,377,440,600,610,447,1215,552,673,687,762
Pressbooks - Engagement rate,54.19%,55.20%,52.07%,52.82%,53.23%,53.53%,52.60%,48.42%,47.49%,49.07%,47.27%
,,,,,,,,,,,
Springshare Properties (libguides/libcal/libanswers),,,,,,,,,,,
Springshare - Total users,953,2274,3949,2747,2132,1171,2153,2527,2693,2618,1715
Springshare - New users,610,1376,2452,1121,877,553,1034,1138,1259,1100,745
Springshare - Views,2286,6022,10435,9524,6728,2949,6034,7361,8022,8191,3426
Springshare - Views per user,2.44,2.69,2.67,3.53,3.25,2.59,2.87,2.98,3.06,3.24,2.04
Springshare - Sessions,1390,3461,6062,5187,3740,1813,3371,4195,4311,4758,2261
Springshare - Average session duration,0:03:06,0:03:19,0:03:18,0:03:14,0:03:03,0:02:49,3:06,3:50,3:08,3:00,2:00
Springshare - Engaged sessions,831,2130,3411,3434,2466,1172,2258,2722,2785,2918,1447
Springshare - Engagement rate,59.78%,61.54%,56.27%,66.20%,65.94%,64.64%,66.98%,64.89%,64.60%,61.33%,64.00%
